"","Cow Number","Mutli lact","Tx","CM","CMCode","Daysatrisk","Age","Parity","DIM at enrolment","Enrolment date","Exit date","BirthDate","CalveDate","Clinical case date","Pathogen","CMDIM","calveposten","dayin","dayout"
"32","920",NA,1,1,1,83,81.3486842105263,5,2,2016-01-20,2016-02-09,2009-04-15,2016-01-20,2016-02-09,"SU",20,2016-01-20,5,25
"33","1118",NA,1,1,1,89,58.421052631579,3,6,2016-01-16,2016-02-04,2011-03-07,2016-01-10,2016-02-04,"SU",25,NA,1,20
"34","1124",NA,1,1,1,63,58.6842105263158,3,2,2016-02-09,2016-03-08,2011-03-25,2016-02-09,2016-03-08,"SD",28,2016-02-09,25,53
"35","1321",NA,0,1,4,83,43.1907894736842,2,2,2016-01-20,2016-02-19,2012-06-18,2016-01-20,2016-02-19,"NOTSUB",30,2016-01-20,5,35
"36","1544",NA,1,1,4,57,29.6052631578947,1,2,2016-02-15,2016-03-22,2013-08-31,2016-02-15,2016-03-22,"NOTSUB",36,2016-02-15,31,67
"37","1478",NA,1,1,1,89,32.0723684210526,1,26,2016-01-16,2016-02-07,2013-05-16,2015-12-21,2016-02-07,"EC",48,NA,1,23
"38","193",NA,0,1,2,41,60.3947368421053,3,47,2016-01-16,2016-01-21,2011-01-06,2015-11-30,2016-01-21,"SA",52,NA,1,6
"39","1799",NA,0,1,1,89,108.618421052632,3,24,2016-01-16,2016-02-17,2007-01-01,2015-12-23,2016-02-17,"ES",56,NA,1,33
"40","1157",NA,0,1,2,89,54.6052631578947,2,31,2016-01-16,2016-02-12,2011-07-01,2015-12-16,2016-02-12,"SA",58,NA,1,28
"41","1223",NA,0,1,2,89,48.9802631578947,3,6,2016-01-16,2016-03-09,2011-12-19,2016-01-10,2016-03-09,"SA",59,NA,1,54
"42","1279",NA,0,1,3,89,45.1644736842105,2,13,2016-01-16,2016-03-05,2012-04-13,2016-01-03,2016-03-05,"CON",62,NA,1,50
"43","942",NA,1,1,1,88,79.1776315789474,5,2,2016-01-16,2016-03-18,2009-06-15,2016-01-15,2016-03-18,"SU / SA",63,NA,1,63
"44","1191",NA,0,1,3,89,52.3355263157895,2,40,2016-01-16,2016-02-09,2011-09-08,2015-12-07,2016-02-09,"NG",64,NA,1,25
"45","1317",NA,0,1,4,73,43.8157894736842,2,2,2016-01-30,2016-04-03,2012-06-09,2016-01-30,2016-04-03,"NOTSUB",64,2016-01-30,15,79
"46","1338",NA,1,1,1,65,41.7105263157895,2,15,2016-01-16,2016-03-07,2012-07-27,2016-01-01,2016-03-07,"EC",66,NA,1,52
"47","9298",NA,1,1,4,83,54.8026315789474,3,2,2016-01-20,2016-03-27,2011-07-01,2016-01-20,2016-03-27,"NOTSUB",67,2016-01-20,5,72
"48","105",NA,0,1,1,89,66.25,4,21,2016-01-16,2016-03-07,2010-07-12,2015-12-26,2016-03-07,"EC",72,NA,1,52
"49","1353",NA,0,1,4,89,41.1184210526316,2,47,2016-01-16,2016-02-14,2012-08-14,2015-11-30,2016-02-14,"NOTSUB",76,NA,1,30
"50","1194",NA,1,1,1,89,52.2368421052632,3,29,2016-01-16,2016-03-05,2011-09-11,2015-12-18,2016-03-05,"EC",78,NA,1,50
"51","773",NA,0,1,4,89,93.7171052631579,6,51,2016-01-16,2016-02-14,2008-03-29,2015-11-26,2016-02-14,"NOTSUB",80,NA,1,30
"52","1324",NA,1,1,4,89,42.7631578947368,2,21,2016-01-16,2016-03-27,2012-06-25,2015-12-26,2016-03-27,"NOTSUB",92,NA,1,72
"53","1132",NA,1,1,2,89,57.4342105263158,3,74,2016-01-16,2016-02-07,2011-04-06,2015-11-03,2016-02-07,"SA",96,NA,1,23
"54","131",NA,0,1,1,83,65.1315789473684,3,65,2016-01-16,2016-02-22,2010-08-15,2015-11-12,2016-02-22,"KS",102,NA,1,38
"55","1256",NA,1,1,3,89,46.2828947368421,2,58,2016-01-16,2016-03-01,2012-03-10,2015-11-19,2016-03-01,"NG",103,NA,1,46
"56","1541",NA,0,1,3,89,28.7828947368421,1,85,2016-01-16,2016-02-03,2013-08-24,2015-10-23,2016-02-03,"CON",103,NA,1,19
"57","1318",NA,1,1,1,89,43.1907894736842,2,61,2016-01-16,2016-03-04,2012-06-12,2015-11-16,2016-03-04,"KS",109,NA,1,49
"58","1367",NA,0,1,3,89,40.2302631578947,2,41,2016-01-16,2016-03-24,2012-09-10,2015-12-06,2016-03-24,"CON",109,NA,1,69
"59","1496",NA,1,1,4,89,30.7565789473684,1,46,2016-01-16,2016-03-20,2013-06-25,2015-12-01,2016-03-20,"NOTSUB",110,NA,1,65
"60","910",NA,1,1,3,89,82.6644736842105,5,106,2016-01-16,2016-01-23,2009-02-28,2015-10-02,2016-01-23,"CON",113,NA,1,8
"61","1355",NA,0,1,1,89,41.0526315789474,2,50,2016-01-16,2016-03-24,2012-08-16,2015-11-27,2016-03-24,"EC",118,NA,1,69
"62","1493",NA,0,1,1,89,30.9210526315789,1,68,2016-01-16,2016-03-08,2013-06-20,2015-11-09,2016-03-08,"EC",120,NA,1,53
"63","1328",NA,1,1,4,89,42.5328947368421,2,56,2016-01-16,2016-03-22,2012-07-02,2015-11-21,2016-03-22,"NOTSUB",122,NA,1,67
"64","1518",NA,1,1,3,89,29.8684210526316,1,56,2016-01-16,2016-03-25,2013-07-22,2015-11-21,2016-03-25,"CON",125,NA,1,70
"65","168",NA,1,1,2,89,60.5592105263158,3,139,2016-01-16,2016-01-17,2011-01-01,2015-08-30,2016-01-17,"SA",140,NA,1,2
"66","972",NA,1,1,1,89,74.8355263157895,4,101,2016-01-16,2016-02-26,2009-10-24,2015-10-07,2016-02-26,"EC",142,NA,1,42
"67","959",NA,0,1,4,89,77.9934210526316,4,59,2016-01-16,2016-04-14,2009-07-20,2015-11-18,2016-04-14,"NOTSUB",148,NA,1,90
"68","1298",NA,1,1,4,89,44.6381578947368,2,143,2016-01-16,2016-01-22,2012-04-29,2015-08-26,2016-01-22,"NOTSUB",149,NA,1,7
"69","800",NA,1,1,3,89,93.5855263157895,3,127,2016-01-16,2016-02-15,2008-04-02,2015-09-11,2016-02-15,"NG",157,NA,1,31
"70","119",NA,0,1,1,83,65.7236842105263,2,129,2016-01-16,2016-02-15,2010-07-28,2015-09-09,2016-02-15,"GPB",159,NA,1,31
"71","1142",NA,1,1,4,89,56.2171052631579,3,127,2016-01-16,2016-02-21,2011-05-13,2015-09-11,2016-02-21,"NOTSUB",163,NA,1,37
"72","192",NA,1,1,1,89,60.3947368421053,3,90,2016-01-16,2016-03-30,2011-01-06,2015-10-18,2016-03-30,"SU",164,NA,1,75
"73","1330",NA,1,1,1,55,42.5328947368421,2,127,2016-01-16,2016-02-25,2012-07-02,2015-09-11,2016-02-25,"EC",167,NA,1,41
"74","1430",NA,1,1,2,89,34.5394736842105,1,145,2016-01-16,2016-02-10,2013-03-02,2015-08-24,2016-02-10,"SA",170,NA,1,26
"75","1487",NA,0,1,1,89,31.1184210526316,1,151,2016-01-16,2016-02-04,2013-06-14,2015-08-18,2016-02-04,"SU",170,NA,1,20
"76","968",NA,1,1,4,76,75.5592105263158,4,172,2016-01-16,2016-01-20,2009-10-02,2015-07-28,2016-01-20,"NOTSUB",176,NA,1,5
"77","1278",NA,1,1,3,89,45.1644736842105,2,160,2016-01-16,2016-02-01,2012-04-13,2015-08-09,2016-02-01,"NG",176,NA,1,17
"78","1474",NA,1,1,4,27,32.3026315789474,1,172,2016-01-16,2016-01-28,2013-05-09,2015-07-28,2016-01-28,"NOTSUB",184,NA,1,13
"79","1383",NA,0,1,1,89,38.125,1,152,2016-01-16,2016-02-25,2012-11-13,2015-08-17,2016-02-25,"EC",192,NA,1,41
"80","1511",NA,0,1,2,89,30.1644736842105,1,175,2016-01-16,2016-02-02,2013-07-13,2015-07-25,2016-02-02,"SA",192,NA,1,18
"81","1114",NA,1,1,1,89,58.5526315789474,3,170,2016-01-16,2016-02-08,2011-03-03,2015-07-30,2016-02-08,"EC",193,NA,1,24
"82","770",NA,1,1,3,89,94.4736842105263,6,168,2016-01-16,2016-02-12,2008-03-06,2015-08-01,2016-02-12,"CON",195,NA,1,28
"83","1154",NA,1,1,4,89,55.8223684210526,2,153,2016-01-16,2016-03-11,2011-05-25,2015-08-16,2016-03-11,"NOTSUB",208,NA,1,56
"84","1414",NA,1,1,4,89,35.5921052631579,1,150,2016-01-16,2016-03-20,2013-01-29,2015-08-19,2016-03-20,"NOTSUB",214,NA,1,65
"85","980",NA,1,1,4,65,73.8486842105263,4,201,2016-01-16,2016-01-30,2009-11-23,2015-06-29,2016-01-30,"NOTSUB",215,NA,1,15
"86","26",NA,1,1,4,76,59.8355263157895,2,192,2016-01-16,2016-02-21,2011-01-23,2015-07-08,2016-02-21,"NOTSUB",228,NA,1,37
"87","164",NA,1,1,2,89,62.171052631579,3,200,2016-01-16,2016-02-13,2010-11-13,2015-06-30,2016-02-13,"SA",228,NA,1,29
"88","1443",NA,0,1,3,89,33.75,1,209,2016-01-16,2016-02-05,2013-03-26,2015-06-21,2016-02-05,"CON",229,NA,1,21
"89","1462",NA,1,1,3,65,32.9605263157895,1,216,2016-01-16,2016-01-31,2013-04-19,2015-06-14,2016-01-31,"CON",231,NA,1,16
"90","1446",NA,1,1,4,89,33.6842105263158,1,166,2016-01-16,2016-03-22,2013-03-28,2015-08-03,2016-03-22,"NOTSUB",232,NA,1,67
"91","162",NA,1,1,1,89,62.2368421052632,3,204,2016-01-16,2016-02-21,2010-11-11,2015-06-26,2016-02-21,"EC",240,NA,1,37
"92","937",NA,0,1,3,83,79.6710526315789,4,196,2016-01-16,2016-03-01,2009-05-30,2015-07-04,2016-03-01,"CON",241,NA,1,46
"93","133",NA,0,1,3,89,64.9671052631579,4,193,2016-01-16,2016-03-08,2010-08-20,2015-07-07,2016-03-08,"CON",245,NA,1,53
"94","748",NA,1,1,3,89,99.7368421052632,5,225,2016-01-16,2016-02-10,2007-09-28,2015-06-05,2016-02-10,"NG",250,NA,1,26
"95","1159",NA,0,1,4,89,55.1973684210526,2,189,2016-01-16,2016-03-25,2011-06-13,2015-07-11,2016-03-25,"NOTSUB",258,NA,1,70
"96","88",NA,1,1,NA,60,68.8157894736842,4,2,2016-02-12,2016-02-13,2010-05-24,2016-02-12,2016-02-13,NA,1,2016-02-12,28,29
"97","42",NA,1,1,4,89,71.1184210526316,3,201,2016-01-16,2016-03-14,2010-02-14,2015-06-29,2016-03-14,"NOTSUB",259,NA,1,59
"98","173",NA,0,1,3,55,61.6447368421053,3,250,2016-01-16,2016-01-29,2010-11-29,2015-05-11,2016-01-29,"CON",263,NA,1,14
"99","171",NA,0,1,2,76,60.5592105263158,3,204,2016-01-16,2016-03-18,2011-01-01,2015-06-26,2016-03-18,"SA",266,NA,1,63
"100","760",NA,1,1,1,89,96.1184210526316,6,201,2016-01-16,2016-03-23,2008-01-16,2015-06-29,2016-03-23,"SU",268,NA,1,68
"101","900",NA,1,1,1,76,83.8486842105263,5,247,2016-01-16,2016-02-07,2009-01-23,2015-05-14,2016-02-07,"EC",269,NA,1,23
"102","904",NA,1,1,4,41,83.0592105263158,4,256,2016-01-16,2016-01-30,2009-02-16,2015-05-05,2016-01-30,"NOTSUB",270,NA,1,15
"103","1296",NA,1,1,1,34,44.671052631579,2,274,2016-01-16,2016-01-17,2012-04-28,2015-04-17,2016-01-17,"EC",275,NA,1,2
"104","85",NA,0,1,4,65,68.3881578947368,4,241,2016-01-16,2016-02-27,2010-05-08,2015-05-20,2016-02-27,"NOTSUB",283,NA,1,43
"105","149",NA,0,1,3,65,62.9605263157895,3,269,2016-01-16,2016-02-09,2010-10-20,2015-04-22,2016-02-09,"NG",293,NA,1,25
"106","604",NA,1,1,3,65,117.368421052632,6,284,2016-01-16,2016-01-25,2006-04-10,2015-04-07,2016-01-25,"CON",293,NA,1,10
"107","762",NA,1,1,1,27,95.9539473684211,5,281,2016-01-16,2016-02-02,2008-01-21,2015-04-10,2016-02-02,"KS",298,NA,1,18
"108","1193",NA,0,1,2,41,52.2368421052632,2,276,2016-01-16,2016-02-11,2011-09-11,2015-04-15,2016-02-11,"SA",302,NA,1,27
"109","1229",NA,0,1,4,55,48.421052631579,2,241,2016-01-16,2016-03-19,2012-01-05,2015-05-20,2016-03-19,"NOTSUB",304,NA,1,64
"110","62",NA,1,1,1,76,66.6118421052632,4,241,2016-01-16,2016-03-21,2010-07-01,2015-05-20,2016-03-21,"SU / SA",306,NA,1,66
"111","954",NA,1,1,NA,80,78.5197368421053,4,2,2016-01-23,2016-01-24,2009-07-13,2016-01-23,2016-01-24,NA,1,2016-01-23,8,9
"112","1236",NA,1,1,3,76,48.0921052631579,2,292,2016-01-16,2016-01-31,2012-01-15,2015-03-30,2016-01-31,"CON",307,NA,1,16
"113","163",NA,0,1,3,89,62.2368421052632,3,253,2016-01-16,2016-03-18,2010-11-11,2015-05-08,2016-03-18,"CON",315,NA,1,63
"114","871",NA,0,1,4,20,84.1776315789474,5,310,2016-01-16,2016-01-28,2009-01-13,2015-03-12,2016-01-28,"NOTSUB",322,NA,1,13
"115","1112",NA,1,1,2,10,58.8157894736842,3,329,2016-01-16,2016-01-23,2011-02-23,2015-02-21,2016-01-23,"CB",336,NA,1,8
"116","64",NA,1,1,3,41,59.8355263157895,2,323,2016-01-16,2016-01-30,2011-01-23,2015-02-27,2016-01-30,"CON",337,NA,1,15
"117","822",NA,1,1,1,83,91.7763157894737,5,284,2016-01-16,2016-03-11,2008-05-27,2015-04-07,2016-03-11,"SD",339,NA,1,56
"118","1167",2,0,0,NA,14,56.6118421052632,3,0,2016-03-31,2016-04-14,2011-07-15,2016-03-31,NA,NA,NA,2016-03-31,76,90
"119","9688",NA,1,1,3,65,78.6184210526316,4,307,2016-01-16,2016-02-26,2009-07-01,2015-03-15,2016-02-26,"CON",348,NA,1,42
"120","1",NA,0,0,0,76,72.9605263157895,3,320,2016-01-16,2016-04-01,2009-12-20,2015-03-02,NA,NA,NA,NA,1,77
"121","15",NA,0,0,0,55,72.3684210526316,3,305,2016-01-16,2016-03-11,2010-01-07,2015-03-17,NA,NA,NA,NA,1,56
"122","22",NA,1,0,0,89,71.875,4,63,2016-01-16,2016-04-14,2010-01-22,2015-11-14,NA,NA,NA,NA,1,90
"123","1167",1,0,0,0,9,54.1447368421053,2,398,2016-01-16,2016-01-25,2011-07-15,2014-12-14,NA,NA,NA,NA,1,10
"124","38",NA,1,0,0,65,71.25,4,287,2016-01-16,2016-03-21,2010-02-10,2015-04-04,NA,NA,NA,NA,1,66
"125","43",NA,0,0,0,43,72.5986842105263,5,2,2016-02-29,2016-04-14,2010-02-15,2016-02-29,NA,NA,NA,2016-02-29,45,90
"126","45",NA,0,0,0,14,73.3881578947368,5,2,2016-03-29,2016-04-14,2010-02-20,2016-03-29,NA,NA,NA,2016-03-29,74,90
"127","48",NA,1,0,0,55,70.7236842105263,3,300,2016-01-16,2016-03-11,2010-02-26,2015-03-22,NA,NA,NA,NA,1,56
"128","76",NA,1,0,0,89,69.3092105263158,4,197,2016-01-16,2016-04-14,2010-04-10,2015-07-03,NA,NA,NA,NA,1,90
"129","77",NA,0,0,0,57,68.9144736842105,4,202,2016-01-16,2016-03-13,2010-04-22,2015-06-28,NA,NA,NA,NA,1,58
"130","81",NA,0,0,0,89,67.9276315789474,4,148,2016-01-16,2016-04-14,2010-05-22,2015-08-21,NA,NA,NA,NA,1,90
"131","82",NA,1,0,0,82,68.8486842105263,4,2,2016-01-21,2016-04-14,2010-05-01,2016-01-21,NA,NA,NA,2016-01-21,6,90
"132","83",NA,0,0,0,65,68.3881578947368,4,201,2016-01-16,2016-03-21,2010-05-08,2015-06-29,NA,NA,NA,NA,1,66
"133","84",NA,1,0,0,89,68.3881578947368,4,214,2016-01-16,2016-04-14,2010-05-08,2015-06-16,NA,NA,NA,NA,1,90
"134","86",NA,1,0,0,89,68.3223684210526,4,198,2016-01-16,2016-04-14,2010-05-10,2015-07-02,NA,NA,NA,NA,1,90
"135","91",NA,0,0,0,89,67.5,3,301,2016-01-16,2016-04-14,2010-06-04,2015-03-21,NA,NA,NA,NA,1,90
"136","95",NA,0,0,0,20,67.0723684210526,3,293,2016-01-16,2016-02-05,2010-06-17,2015-03-29,NA,NA,NA,NA,1,21
"137","1280",NA,1,1,NA,68,45.7894736842105,2,2,2016-02-04,2016-02-05,2012-04-15,2016-02-04,2016-02-05,NA,1,2016-02-04,20,21
"138","98",NA,1,0,0,89,66.7105263157895,4,240,2016-01-16,2016-04-14,2010-06-28,2015-05-21,NA,NA,NA,NA,1,90
"139","107",NA,0,0,0,26,68.0921052631579,4,2,2016-03-17,2016-04-14,2010-07-19,2016-03-17,NA,NA,NA,2016-03-17,62,90
"140","110",NA,1,0,0,89,65.9539473684211,3,317,2016-01-16,2016-04-14,2010-07-21,2015-03-05,NA,NA,NA,NA,1,90
"141","113",NA,0,0,0,89,65.8881578947368,4,63,2016-01-16,2016-04-14,2010-07-23,2015-11-14,NA,NA,NA,NA,1,90
"142","115",NA,0,0,0,89,65.8223684210526,4,186,2016-01-16,2016-04-14,2010-07-25,2015-07-14,NA,NA,NA,NA,1,90
"143","121",NA,0,0,0,85,65.7565789473684,4,2,2016-01-18,2016-04-14,2010-07-31,2016-01-18,NA,NA,NA,2016-01-18,3,90
"144","122",NA,1,0,0,55,65.5921052631579,3,307,2016-01-16,2016-03-11,2010-08-01,2015-03-15,NA,NA,NA,NA,1,56
"145","123",NA,0,0,0,89,65.4276315789474,3,196,2016-01-16,2016-04-14,2010-08-06,2015-07-04,NA,NA,NA,NA,1,90
"146","124",NA,1,0,0,34,65.3289473684211,3,326,2016-01-16,2016-02-19,2010-08-09,2015-02-24,NA,NA,NA,NA,1,35
"147","126",NA,1,0,0,89,65.1973684210526,3,180,2016-01-16,2016-04-14,2010-08-13,2015-07-20,NA,NA,NA,NA,1,90
"148","129",NA,0,0,0,89,66.6118421052632,4,296,2016-01-16,2016-04-14,2010-07-01,2015-03-26,NA,NA,NA,NA,1,90
"149","132",NA,1,0,0,89,65.0328947368421,3,201,2016-01-16,2016-04-14,2010-08-18,2015-06-29,NA,NA,NA,NA,1,90
"150","135",NA,0,0,0,89,64.7697368421053,3,96,2016-01-16,2016-04-14,2010-08-26,2015-10-12,NA,NA,NA,NA,1,90
"151","138",NA,1,0,0,83,64.3092105263158,3,325,2016-01-16,2016-04-08,2010-09-09,2015-02-25,NA,NA,NA,NA,1,84
"152","147",NA,0,0,0,82,63.2565789473684,3,2,2016-01-21,2016-04-14,2010-10-18,2016-01-21,NA,NA,NA,2016-01-21,6,90
"153","153",NA,0,0,0,41,62.6644736842105,3,254,2016-01-16,2016-02-26,2010-10-29,2015-05-07,NA,NA,NA,NA,1,42
"154","167",NA,0,0,0,89,61.875,3,148,2016-01-16,2016-04-14,2010-11-22,2015-08-21,NA,NA,NA,NA,1,90
"155","169",NA,0,0,0,89,61.8092105263158,3,174,2016-01-16,2016-04-14,2010-11-24,2015-07-26,NA,NA,NA,NA,1,90
"156","176",NA,1,0,0,17,63.9802631578947,3,2,2016-03-26,2016-04-14,2010-11-30,2016-03-26,NA,NA,NA,2016-03-26,71,90
"157","177",NA,0,0,0,55,61.5789473684211,3,153,2016-01-16,2016-03-11,2010-12-01,2015-08-16,NA,NA,NA,NA,1,56
"158","180",NA,1,0,0,89,60.5592105263158,2,317,2016-01-16,2016-04-14,2011-01-01,2015-03-05,NA,NA,NA,NA,1,90
"159","181",NA,0,0,0,76,61.4144736842105,3,219,2016-01-16,2016-04-01,2010-12-06,2015-06-11,NA,NA,NA,NA,1,77
"160","183",NA,0,0,0,76,61.1842105263158,3,278,2016-01-16,2016-04-01,2010-12-13,2015-04-13,NA,NA,NA,NA,1,77
"161","187",NA,0,0,0,89,60.8881578947368,3,154,2016-01-16,2016-04-14,2010-12-22,2015-08-15,NA,NA,NA,NA,1,90
"162","190",NA,1,0,0,89,60.6578947368421,3,191,2016-01-16,2016-04-14,2010-12-29,2015-07-09,NA,NA,NA,NA,1,90
"163","4008",NA,1,1,NA,54,19.7039473684211,1,2,2016-02-18,2016-02-19,2014-07-01,2016-02-18,2016-02-19,NA,1,2016-02-18,34,35
"164","1185",2,0,0,NA,9,55.1644736842105,3,0,2016-04-05,2016-04-14,2011-09-02,2016-04-05,NA,NA,NA,2016-04-05,81,90
"165","196",NA,1,0,0,83,60.0328947368421,3,40,2016-01-16,2016-04-08,2011-01-17,2015-12-07,NA,NA,NA,NA,1,84
"166","197",NA,0,0,0,52,61.2171052631579,3,2,2016-02-20,2016-04-14,2011-01-18,2016-02-20,NA,NA,NA,2016-02-20,36,90
"167","538",NA,1,0,0,41,78.6184210526316,4,225,2016-01-16,2016-02-26,2009-07-01,2015-06-05,NA,NA,NA,NA,1,42
"168","603",NA,0,0,0,89,117.434210526316,7,176,2016-01-16,2016-04-14,2006-04-08,2015-07-24,NA,NA,NA,NA,1,90
"169","605",NA,0,0,0,41,117.039473684211,6,288,2016-01-16,2016-02-26,2006-04-20,2015-04-03,NA,NA,NA,NA,1,42
"170","606",NA,1,0,0,34,116.875,7,240,2016-01-16,2016-02-19,2006-04-25,2015-05-21,NA,NA,NA,NA,1,35
"171","608",NA,1,0,0,20,116.875,7,254,2016-01-16,2016-02-05,2006-04-25,2015-05-07,NA,NA,NA,NA,1,21
"172","619",NA,0,0,0,89,115.328947368421,7,127,2016-01-16,2016-04-14,2006-06-11,2015-09-11,NA,NA,NA,NA,1,90
"173","636",NA,1,0,0,89,112.5,7,40,2016-01-16,2016-04-14,2006-09-05,2015-12-07,NA,NA,NA,NA,1,90
"174","639",NA,0,0,0,31,113.75,8,2,2016-03-12,2016-04-14,2006-09-25,2016-03-12,NA,NA,NA,2016-03-12,57,90
"175","656",NA,1,0,0,89,108.190789473684,6,225,2016-01-16,2016-04-14,2007-01-14,2015-06-05,NA,NA,NA,NA,1,90
"176","671",NA,0,0,0,27,106.644736842105,5,341,2016-01-16,2016-02-12,2007-03-02,2015-02-09,NA,NA,NA,NA,1,28
"177","699",NA,0,0,0,83,78.6184210526316,4,237,2016-01-16,2016-04-08,2009-07-01,2015-05-24,NA,NA,NA,NA,1,84
"178","709",NA,0,0,0,43,110.131578947368,6,2,2016-02-29,2016-04-14,2007-01-01,2016-02-29,NA,NA,NA,2016-02-29,45,90
"179","717",NA,0,0,0,55,78.6184210526316,4,262,2016-01-16,2016-03-11,2009-07-01,2015-04-29,NA,NA,NA,NA,1,56
"180","719",NA,0,0,0,41,78.6184210526316,3,379,2016-01-16,2016-02-26,2009-07-01,2015-01-02,NA,NA,NA,NA,1,42
